अकड़	اڪڙ
अंगोछो	انگوڇو
अंग्रेज़ी	انگريزي
अंजाम	انجام
अंजीरु	انجير
अंत	انت
अंत	پڄاڻي
अंतर	انتر
अंतरिक्श	انترڪش
अंतिम	انتم
अंतु	انت
अंदर	اندر
अंदरि	اندر
अंदाज़	انداز
अंदाज़ी	اندازي
अंदाज़ु	انداز
अंदाज़ो	اندازو
अंदिरां	اندران
अंदिरूनी	اندروني
अंदिर्यों	اندريون
अंदेशो	انديشو
अंद्रां	اندران
अंद्रीं	اندرين
अंद्रूनि	اندروني
अंद्रूनी	اندروني
अंद्र्यों	اندريون
अंध	انڌ
अंधाई	انڌائي
अंधु	انڌ
अंधेर	انڌير
अंधो	انڌو
अंबु	انب
अंश	انش
अंशु	انش
अंश्दानु	انشدان
आईनो	آئينو
आईंदह	آئينده
आईंदे	آئيندي
आईंदो	آئيندو
आकर्शण	آڪرشن
आकहि	آڪه
आकार	آڪار
आकाश	آڪاش
आकाश्वाणी	آڪاشواڻي
आकास	آڪاس
आकासी	آڪاسي
आकासु	آڪاس
आक्टोबर	آڪٽوبر
आक्रिती	آڪرتي
आखाड़ो	آکاڙو
आखाणी	آکاڻي
आखाणीअ	آکاڻيء
आख़िर	آخر
आख़िरि	آخر
आख़िर्कार	آخرڪار
आखेरो	آکيرو
आख़्री	آخري
आख़्रीन	آخرين
आग	آگ
आगाही	آگاهي
आग्याकारी	آگياڪاري
आॻाटो	آڳاٽو
आघारणु	آگھارڻ
आङुड़	آڱڙ
आङुर	آڱر
आङुरि	آڱري
आङुरु	آڱر
आङूठो	آڱوٺو
आचार	آچار
आच्रणु	آچرڻ
आछ	آڇ
आछणु	آڇڻ
आछ्लाइणु	آڇلائڻ
आज़ाद	آزاد
आज़ादी	آزادي
आज़ाद्गी	آزادگي
आजीवन	آجيون
आजीविका	آجيوڪا
आजीव्का	آجيوڪا
आजु	عاج
आजो	آجو
आजो	عاجو
आज़्माइणु	آزمائڻ
आज़्माइशी	آزمائش
आज़्माऊ	ازمائو
आज़्मायल	آزمايل
आज़्मूदो	آزمودو
आज़्मूद्गार	آزمودگار
आज्यां	آجيان
आडम्बर	آڊمبر
आडम्बरी	آڊمبري
आडम्बरु	آڊمبر
आडंबर	آڊنبر
आड्~अत	آدت
आॾ	آڏ
आॾाणो	آڏاڻو
आढ	آڍ
आण	آڻ
आणण	آڻڻ
आणणु	ڻڻ
आणणु	آڻڻ
आणनु	آڻڻ
आणि	آڻ
आणीदड़	آڻيندڙ
आणींदड़	آڻيندڙ
आणे	آڻي
आतम	آتم
आतशी	آتشي
आतिश्गीर	آتشگير
आतिश्बाज़ी	آتشبازي
आतुर	آتر
आतंक	آتنڪ
आतंकु	آتنڪ
आतंक्वादी	آتنڪوادي
आत्म	آتم
आत्मा	آتما
आत्मिक	آتمڪ
आत्म्घाती	آتمگھاتي
आत्म्हत्या	آتمهتيا
आथतु	آٿت
आदत	آدت
आदत	عادت
आदती	عادتي
आदम	آدم
आदर	آدر
आदरणिय	آدرڻي
आदर्श	آدرش
आदर्श्वाद	آدرشواد
आदर्श्वादी	آدرشوادي
आदी	عادي
आदीवासी	آديواسي
आदुर्भाउ	ادرڀاء
आदेश	آديش
आधार	آڌار
आधारु	آڌار
आधी	آڌي
आधुनिक	آڌنڪ
आध्यात्मिक	آڌياتمڪ
आनाकानी	آناڪاني
आने	آني
आनंद	آنند
आपेशाही	آپيشاھي
आपो	آپو
आप्घात	آپگھات
आप्घाती	آپگھاتي
आप्रवासन	آپرواسن
आप्रवासी	آپرواسي
आप्रेशन	آپريشن
आप्सी	آپسي
आफ़त	آفت
आफ़ीम	آفيم
आफ़ीस	آفيس
आफ़ीसर	آفيسر
आफ़्ताबी	آفتابي
आफ़्ताबु	آفتاب
आफ़्सेट	آفسيٽ
आब	آب
आबाद	آباد
आबादी	آبادي
आबिद	بد
आबी	آبي
आबु	آب
आब्कारी	آبڪاري
आब्नूस	آبنوس
आब्पाशी	آبپاشي
आब्रू	آبرو
आब्रू	ساک
आब्रूअ	آبرو
आब्रूदार	آبرودار
आभास	آڀاس
आभासी	آڀاسي
आम	عام
आमद	آمد
आमदनी	آمدني
आमद्नी	آمدني
आमद्रफ़्ति	آمدرفت
आमेज़	آميز
आम्दनी	آمدني
आयल	آيل
आयलु	آيل
आयोजन	آيوجن
आर	آر
आर	ار
आरक्शणु	آرڪشڻ
आरक्शित	آرڪشت
आरा	آرا
आराम	آرام
आरामी	آرامي
आरामु	آرام
आरितुवार	آرتوار
आरी	آري
आरो	آرو
आरोपणु	آروپڻ
आरंभ	آرنڀ
आरंभु	آرنڀ
आर्ज़ी	عارضي
आर्ज़ू	آرزۇ
आर्ज़ू	آرزو
आर्डर	آرڊر
आर्थिक	آرٿڪ
आर्सी	آرسي
आर्हाई	آرھائي
आलम	آلم
आलम्गीर	عالمگير
आलस	آلس
आला	اعلي
आला	علي
आलाण	آلاڻ
आलाणि	آلاڻ
आलाप	آلاپ
आलिम	عالم
आलिमाणो	عالماڻو
आलीशान	آليشان
आलीशान	عاليشان
आलू	آلو
आलो	آلو
आलोच्ना	آلوچنا
आल्सी	آلسي
आवक	آوڪ
आवाज़	آواز
आवाज़ु	آواز
आवारा	آوارا
आविश्कार	آوشڪار
आशा	آشا
आशावाद	آشاواد
आशावादी	آشاوادي
आशिक	عاشق
आशिकु	عاشق
आश्रम	آشرم
आस	آس
आसणु	آسڻ
आसाइतो	آسائتو
आसान	آسان
आसानी	آساني
आसामी	آسامي
आसार	آسار
आसिरो	آسرو
आसीस	آسيس
आसूदो	آسودو
आसूद्गी	آسودگي
आस्मान	آسمان
आस्रो	آسرو
आह	آه
आहट	آهٽ
आहिन	آھن
आहिस्ते	آهستا
आहिस्ते	آهستي
आहे	آهي
आहेड़ो	آهيڙو
आह्यां	آھيان
आह्यूं	آھيون
आह्स्ते	آھستي
आह्स्ते	آهستي
आंडो	آنڊو
आंदलु	آندل
आंदोलन	آندولن
आंधी	آنڌي
इएं	۽
इएं	ائين
इएं	ايئن
इकाई	اڪائي
इकी	اڪي
इक्ख्लाकु	اخلاق
इख़ित्सार	اختصار
इख़ित्सारु	سار
इख़्तिलाफ़ी	اختلافي
इख़्लाक	اخلاڪ
इख़्लाकी	اخلاقي
इख़्लाकी	اخلاڪي
इछ	اڇا
इछा	اڇا
इज़त	عزت
इज़ती	عزتي
इजाज़त	اجازت
इजाज़ती	اجازتي
इज़ाफ़ो	اضافو
इजार्दार	اجاردار
इज्लास	اجلاس
इज़्हार	ازهار
इज़्हार	اظهار
इझो	اجھو
इझोई	اجھوئي
इतर	عطر
इतहासी	اتهاسي
इतिफ़ाक	اتفاق
इतिरु	عطر
इतिहास	اتھاس
इते	اتي
इत्फ़ाक	اتفاق
इत्फ़ाका	اتفاقا
इत्फ़ाकी	اتفاقي
इत्लाउ	اتلاء
इत्लाउ	اطلاع
इत्हाद	اتحاد
इन	ان
इनकरे	انڪري
इनहीअ	انهيء
इनहीअ	انھيء
इनाम	انعام
इनामु	انعام
इन्कार	انڪار
इन्क्लाब	انقلاب
इन्क्लाब	ڳنقلاب
इन्क्लाबी	انقلابي
इन्चु	انچ
इन्तिज़ाम	انتظام
इन्तिज़ामी	انتظامي
इन्त्ज़ाम	انتظام
इन्त्ज़ार	انتظار
इन्सान	انسان
इन्सानु	انسان
इन्सान्यत	انسانيت
इन्साफ़	انساف
इन्साफ़	انصاف
इन्साफ़ी	انصافي
इन्साफ़ु	انصاف
इबादती	عبادتي
इमारत	عمارت
इमारती	عمارتي
इम्कान	امڪان
इम्कानी	امڪاني
इम्तियाज़	امتياز
इम्तिहान	امتحان
इम्तिहानु	امتحان
इम्तिहानु	امتهان
इरादाऊं	ارادائون
इरादो	ارادو
इलत	علت
इलती	علتي
इलती	علدتي
इलाइको	علائقو
इलाको	علاقو
इलाको	علائقو
इलाची	الائچي
इलाज	علاج
इलाजु	علاج
इलाही	الاهي
इलाही	الاھي
इलिम	علم
इल्ज़ाम	الزام
इल्ज़ाम	الظام
इल्म	علم
इल्मी	علمي
इल्मु	علم
इल्विजान	وجان
इल्हामी	الهامي
इशारा	اشارا
इशारो	اشارو
इश्क	عشق
इश्क्बाज़ी	عشق
इश्त्हार	اشتهار
इसिमु	اسم
इस्कूल	اسڪول
इस्टाक	اسٽاڪ
इस्टिकरु	اسٽڪر
इस्टूडिओ	اسٽوڊئو
इस्टेशन	اسٽيشن
इस्तलाहु	اصطلاح
इस्तवा	استوا
इस्तीफ़ा	استعفا
इस्तीफ़ा	استيفا
इस्तेमाल	استعيمال
इस्तेमाल	استيعمال
इस्तेमालु	استعيمال
इस्त्री	استري
इस्त्लाह	استلاه
इस्त्लाहत	اصطلاحت
इस्थाई	اسٿائي
इस्थान	اسٿان
इस्थानिक	اسٿانڪ
इस्थापित	اسٿاپت
इस्थापिन	اسٿاپن
इस्थाप्ना	اسٿاپنا
इस्थिर	اسٿر
इस्थिर्ता	اسٿرتا
इस्पताल	اسپتال
इस्मु	اسم
इस्रार	اسرار
इस्रारी	اسراري
इस्लाह	اصلاح
इहा	اها
इहे	اهي
इहो	اهو
इहो	اھو
इंघाइणु	انگھائڻ
इंजिणि	انجڻ
इंज्नेरु	انجنير
इंत्ज़ाम	انتظام
इंत्ज़ार	انتظار
इंशा	انشا
इंसान	انسان
ई	ئي
ईज़ाअ	ايزاء
ईज़ाइणु	ايذائڻ
ईज़ाउ	ايذاء
ईजाद	ايجاد
ईमन्दारी	ايمانداري
ईमान	ايمان
ईमानी	ايماني
ईमान्दाई	ايمانداري
ईमान्दार	ايماندار
ईमान्दारी	ايمانداري
ईमान्दारीअ	ايمانداريء
ईमांदार	ايماندار
ईर्खा	ايرکا
ईर्खालू	ايرکالو
ईश्वर	ايشور
ईश्वरी	ايشوري
ईश्वर्ता	ايشورتا
ईंघ	اينگھ
ईंघाइणु	اينگھائڻ
ईंघंदड़	اينگھندڙ
ईंदड़	ايندڙ
ईंदड़ु	ايندڙ
ईंदो	ايندو
उकीर	اڪير
उक्रणु	اڪرڻ
उखारणु	اکارڻ
उखिलणु	اکلڻ
उखेड़णु	اکيڙڻ
उखेलणु	اکيلڻ
उख्ड़णु	اکڙڻ
उख्री	اکري
उग़ड़णु	اگھاڙڻ
उॻाड़णु	اڳاڙڻ
उघणु	اگھڻ
उघाड़णु	اگھاڙڻ
उघाड़प	اگھاڙپ
उघाड़ो	اگھاڙو
उचारण	اچارڻ
उचारणु	اچارڻ
उचारु	اچار
उचित	اچت
उछातिरो	اڇاترو
उछात्रो	اڇاترو
उछारो	اڇارو
उछालणु	اڇالڻ
उछांग	اڇانگ
उछिलणु	اڇلڻ
उछिलाइणु	اڇلائڻ
उछ्लणु	اڇلڻ
उछ्लाइणु	اڇلائڻ
उजूरो	اجورو
उज़्वन	عضون
उज़्वो	عضوو
उझाम	اجھام
उझामण	اجھامڻ
उञ	اڃ
उञायलु	اڃايل
उठु	اٺ
उडाई	اڊائي
उडेरणु	اڊرڻ
उॾही	اڏهي
उॾाइणु	اڏائڻ
उॾाई	اڏائي
उॾाऊ	اڏائو
उॾाए	اڌائي
उॾाम	اڏام
उॾामणु	اڏامڻ
उॾामी	اڏامي
उॾामंदड़	اڏامندڙ
उॾी	اڏي
उॾोही	اڏوهي
उॾंदड़	وانگر
उणणु	اڻڻ
उणति	اڻت
उणियलु	اڻيل
उण्यल	اڻيل
उण्यलु	اڻيل
उण्वीह	اڻويه
उतपती	اتپتي
उतम	اتم
उतमु	اتم
उतारू	اتارو
उतावलो	اتاولو
उताहूं	اتاهون
उतां	اتان
उतिरणु	اترڻ
उते	اتي
उतेजना	اتيجنا
उतेज्ना	اتيجنا
उत्कंठा	اتڪنٺا
उत्सवु	اتسو
उत्साह	اتساھ
उत्साह	اتساه
उत्साही	اتساهي
उत्साही	اتساھي
उत्साहु	اتساه
उत्सुक्ता	اتسڪتا
उथणु	اٿڻ
उथल	اٿل
उथारणु	اٿارڻ
उथिलाइणु	اٿلائڻ
उथ्लणु	اٿلڻ
उथ्लाइणु	اٿلائڻ
उथ्ली	اٿلي
उथ्लंदड़	اٿلندڙ
उथ्ल्यल	اٿيل
उदम	اڏام
उदम	ادم
उदार	ادار
उदार्चित	ادارچت
उदार्ता	ادارتا
उदास	اداس
उदास	اداسمنحوس
उदासाई	اداسي
उदासी	ادآسي
उदासी	اداسي
उदासीअ	اداسيء
उदासीन	اداسين
उदेश	اديش
उद्घाटन	ادگھاٽن
उद्योग	اديوگ
उधार	اڌار
उधारु	اڌار
उधारो	اڌارو
उन	ان
उनजे	انجي
उन्हारो	انهارو
उन्हीअ	انهيء
उप	اپ
उपज	اپج
उपत	اپت
उपत	ڱپت
उपति	اپت
उपदेशकु	اپديشڪ
उपनगर	اپنگر
उपनदी	اپندي
उपयोगु	اپيوگ
उपाइणु	اپائڻ
उपाईंदड़	اپائيندڙ
उपाउ	اپاء
उपासकु	اپاسڪ
उपासना	اپاسنا
उप्करणु	اپڪرڻ
उप्कारी	اپڪاري
उप्टार	اپٽار
उप्देश	اپديش
उप्देशक	اپديشڪ
उप्नाम	اپنام
उफ़क	افق
उफ़्फ़	اف
उबतड़	ابتڙ
उबतड़ि	ابتڙ
उबतर	ابتر
उबतरी	ابتري
उबतो	ابتو
उबत्री	ابتري
उॿ	اٻ
उॿथो	اٻٿو
उॿहिराई	اٻهرائي
उॿहिरो	اٻهرو
उॿासी	اٻاسي
उॿासी	اٻاي
उभक्प्रो	اڀڪپرو
उभामणु	اڀامڻ
उभारु	اڀار
उभिड़ियलु	اڀڙيل
उभु	اڀ
उभो	اڀو
उभ्रणु	اڀرڻ
उभ्रंदड़	اڀرندڙ
उभ्रंदाई	اڀرندائي
उभ्रंदे	اڀرندي
उभ्र्यल	اڀريل
उमर	عمر
उमालक	امالڪ
उमिर	عمر
उमिरि	عمر
उमिर्दराज़ी	عمردرازي
उमीद	اميد
उमीदी	اميدي
उमेद	اميد
उमेद्वार	اميدوار
उमेद्वार	عميدوار
उमंग	امنگ
उम्दो	امدو
उम्दो	عمدو
उलट	الٽ
उलहंदे	الهندي
उलास	الاس
उलू	الو
उलेख	اليک
उलंघन	النگھن
उलंघनु	النگھن
उल्का	الڪا
उल्झन	الجھڻ
उल्झन	الجھن
उल्झाइणु	الجھائڻ
उल्टाइणु	الٽائڻ
उल्टी	الٽي
उल्टो	الٽو
उल्थो	الٽو
उस	اس
उसवारो	اسوارو
उसाट	اساٽ
उसाटियलु	اساٽيل
उसिरणु	اسرڻ
उसूल	اصول
उसूलु	اصول
उस्ताद	استاد
उस्तादी	استادي
उस्तादु	استاد
उस्त्रो	استرو
उस्रणु	اسرڻ
उस्रंदड़	اسرندڙ
उहिदो	عھدو
उहिदो	عهدو
उहे	اهي
उहो	اهو
उहो	اھو
उह्देदार	عھديدار
उह्देदार	عهديدار
उह्दो	عهدو
ऊच	اوچ
ऊचाई	اوچائي
ऊचाए	اوچائي
ऊचो	اوچو
ऊजल	اوجل
ऊणाई	اوڻائي
ऊणाओ	اوڻائو
ऊणो	اوڻو
ऊनी	اوني
ऊन्हाई	اونچائي
ऊन्हो	اونھو
ऊॿड़	اوٻڙ
ऊंचाई	اونچائي
ऊंचो	اونچو
ऊंधह	اونڌه
ऊंधो	اونڌو
ऊंहो	اونهو
एकागर	ايڪاگر
एकांत	ايڪانت
एके	ايڪي
एको	ايڪو
