अकड़	اڪڙ
अव्हां	اوهان
अव्हीं	اوهين
अशक्त	اشڪت
अशांत	اشانت
अशांती	اشانتي
अशुध	اشڌ
अशुधता	اشڌتا
अशुभ	اشڀ
अशुभ्	اَشڀ
अश्रत	عشرت
असन्गती	اسنگتي
असफल	اسڦل
असफल्ता	اسڦلتا
असभ्य	اسڀيَ
असभ्यता	اسڀيتا
असमर्थ	اسمرٿ
असमर्थी	اسمرٿي
असमर्थ्	اسمرٿ
असमाजिक	اسماجڪ
असमांता	اسمانتا
असर	اثر
असरु	اثر
असरु	اَثَرُ
असर्दार	اثردار
असहु	اسه
असहू	اسهوُ
असहू	اَسَهوُ
असह्कार	اسهڪار
असह्योग	اسهيوگ
असां	اسان
असी	اَسِي
असीम	اسيم
असीं	اسين
असुभावीक	اسڀاويڪ
असुर्	عصر
असुल	اصل
असुलियत	اصليت
असुली	اصلي
असुलु	اصل
असुल्	اصل
असुल्	دراصل
असुल्यत	اصليت
असूली	اصولي
असोच	اسوچ
असंतुलन	اَسَنتُلَن
असंतोश	اسنتوش
अस्तर्	استر
अस्मत	عصمت
अस्राइतो	اثرائتو
अस्ली	اصلي
अस्ली	اَصليِ
अस्लीपिणो	اصليپڻو
अहम	اھم
अहम	اهم
अहम्	اهم
अहम्यत	اهميت
अहिड़ी	اهڙي
अहिड़े	اهڙي
अहिड़ो	اهڙو
अहिम	اھم
अहिम्यत	اَھميت
अहिम्यत	اھميت
अहिल	اهل
अहिसान	احسان
अहिसान	اهسان
अहिसान्मंद	اهسانمند
अहिसास	حساب
अहिंज	اھنج
अहिंजो	اھنجو
अहुदो	عَهدو
अहुर	اهر
अहंकार	اھنڪار
अहंकारी	اھنڪاري
अहंजु	اهنج
अहंजो	اهنجو
अह्म्यत	اھميت
अह्वाल	احوال
अह्सान	احسان
अह्सान्मंद	احسانمند
अह्सान्मंदी	احسانمندي
अह्सास	احساس
अह्सासु	اَحساس
अंग	انگ
अंगल	انگل
अंगी	انگي
अंगु	انگ
अंगु	اَنگُ
अंगूर	انگور
अंगूर	ولي
अंगूरी	انگوري
अंगेज़	انگيز
अंगोछो	انگوڇو
अंग्रेज़ी	انگريزي
अंजाम	انجام
अंजाम्	انجام
अंजीरु	اَنجير
अंत	اَنتُ
अंत	پُڄاڻي
अंतर	انتر
अंतरिक्श	انترڪش
अंतिम्	انتم
अंतु	انت
अंत्	انت
अंदर	اندر
अंदरि	اندر
अंदर्	اندر
अंदाज़	انداز
अंदाज़ी	اندازي
अंदाज़ु	انداز
अंदाज़ो	اندازو
अंदाज़ो	اَندازو
अंदाज़्	انداز
अंदिरां	اندران
अंदिरूनी	اندروني
अंदिर्यों	اندريون
अंदेशो	انديشو
अंद्रां	اندران
अंद्रीं	اندرين
अंद्रूनि	اندروني
अंद्रूनी	اندروني
अंद्र्यों	اندريون
अंध	اَنڌُ
अंधाई	انڌائي
अंधु	انڌ
अंधेर	انڌير
अंधो	انڌو
अंबु	انب
अंबु	اَنب
अंश	انش
अंशु	انش
अंश्दानु	انشدان
आईनो	آئينو
आईंदह	آئينده
आईंदे	آئيندي
आईंदो	آئيندو
आकर्शण	آڪرشن
आकहि	آڪه
आकार	آڪار
आकार्	آڪار
आकाश	آڪاش
आकाश्वाणी	آڪاشواڻي
आकास	آڪاس
आकासी	آڪاسي
आकासु	آڪاسُ
आक्टोबर	آڪٽوبر
आक्रिती	آڪرتي
आखाड़ो	آکاڙو
आखाणी	آکاڻي
आखाणीअ	آکاڻيءَ
आख़िर	آخر
आख़िरि	آخر
आख़िर्	آخر
आख़िर्कार	آخرڪار
आखेरो	آکيرو
आख़्री	آخري
आख़्रीन	آخرين
आग	آگ
आगाही	آگاهي
आग्याकारी	آگياڪاري
आॻाटो	آڳاٽو
आघारणु	آگھارڻ
आङुड़्	آڱڙ
आङुर	آڱر
आङुरि	آڱري
आङुरु	آڱر
आङुर्	آڱر
आङूठो	آڱوٺو
आचार	آچار
आच्रणु	آچرڻ
आछ	آڇ
आछणु	آڇڻ
आछ्लाइणु	آڇلائڻ
आज़ाद	آزاد
आज़ादी	آزادي
आज़ाद्गी	آزادِگي
आजीवन	آجيون
आजीविका	آجيوڪا
आजीव्का	آجيوڪا
आजु	عاج
आजो	آجو
आजो	عاجو
आज़्माइणु	آزمائڻ
आज़्माइशी	آزمائش
आज़्माऊ	ازمائو
आज़्मायल	آزمايل
आज़्मूदो	آزمودو
आज़्मूद्गार	آزمودگار
आज़्मूद्गार्	آزمودگار
आज्यां	آجيان
आडम्बर	آڊمبر
आडम्बरी	آڊمبري
आडम्बरु	آڊمبر
आडंबर	آڊنبر
आड्~अत	آدت
आॾ	آڏ
आॾाणो	آڏاڻو
आढ	آڍ
आण	آڻ
आणण	آڻڻ
आणणु	ڻڻ
आणणु	آڻَڻُ
आणणु	آڻڻ
आणनु	آڻڻ
आणि	آڻ
आणीदड़	آڻيندڙ
आणींदड़	آڻيندڙ
आणींदड़्	آڻيندڙ
आणींदड़्	آڻيِندَڙ
आणे	آڻي
आतम	آتم
आतम	آتَم
आतशी	آتشي
आतिश्गीर्	آتشگير
आतिश्बाज़ी	آتِشبازيِ
आतुर	آتر
आतंक	آتنڪ
आतंकु	آتنڪ
आतंक्वादी	آتنڪوادي
आत्म	آتم
आत्मा	آتما
आत्मिक	آتمِڪ
आत्मिक	آتمڪ
आत्म्घाती	آتمگھاتي
आत्म्हत्या	آتمهتيا
आथतु	آٿت
आदत	آدت
आदत	عادت
आदती	عادتي
आदती	عِاَدتيِ
आदम	آدم
आदर	آدر
आदरणिय	آدَرڻِيَ
आदर्	آدر
आदर्श	آدرش
आदर्श्	آدرش
आदर्श्वाद	آدرشواد
आदर्श्वादी	آدرشوادي
आदी	عادي
आदीवासी	آديواسي
आदुर्भाउ	ادرڀاءُ
आदेश्	آديش
आधार	آڌار
आधारु	آڌار
आधी	آڌي
आधुनिक	آڌنڪ
आध्यात्मिक	آڌياتمڪ
आनाकानी	آناڪاني
आने	آني
आनंद	آنند
आनंद्	آنند
आपेशाही	آپيشاھي
आपो	آپو
आप्घात	آپگھات
आप्घाती	آپگھاتي
आप्रवासन	آپرواسن
आप्रवासी	آپرواسي
आप्रेशन	آپريشن
आप्सी	آپسي
आफ़त	آفت
आफ़ीम	آفيم
आफ़ीस	آفيس
आफ़ीसर	آفيسر
आफ़्ताबी	آفتابي
आफ़्ताबु	آفتاب
आफ़्सेट	آفسيٽ
आब	آب
आबाद	آباد
आबादी	آبادي
आबाद्	آباد
आबिद्	بد
आबी	آبي
आबु	آب
आब्कारी	آبڪاري
आब्नूस	آبنوُس
आब्पाशी	آبپاشي
आब्रू	آبرو
आब्रू	ساک
आब्रूअ	آبرو
आब्रूदार्	آبرودار
आभास	آڀاس
आभासी	آڀاسي
आम	عام
आमदनी	آمدني
आमद्	آمد
आमद्नी	آمدني
आमद्रफ़्ति	آمدرفت
आमेज़	آميز
आम्	عام
आम्दनी	آمدني
आयल	آيل
आयलु	آيل
आयोजन	آيوجن
आर	آر
आर	ار
आरक्शणु	آرڪشڻ
आरक्शित	آرڪشت
आरा	آرا
आराम	آرام
आरामी	آرامي
आरामु	آرام
आराम्	آرام
आरितुवार	آرتوار
आरी	آري
आरो	آرو
आरोपणु	آروپڻ
आरंभ	آرنڀ
आरंभु	آرنڀ
आर्ज़ी	عارضي
आर्ज़ू	آرزۇ
आर्ज़ू	آرزو
आर्डर	آرڊر
आर्थिक	آرٿڪ
आर्सी	آرسي
आर्हाई	آرھائي
आलम्	آلم
आलम्गीर	عالمگير
आलस	آلس
आलस्	آلس
आला	اعلي
आला	علي
आलाण	آلاڻ
आलाणि	آلاڻ
आलाप	آلاپ
आलिम	عالم
आलिमाणो	عالماڻو
आलीशान	آليشان
आलीशान	عاليشان
आलू	آلوُ
आलो	آلو
आलोच्ना	آلوچنا
आल्सी	آلسي
आवक	آوڪ
आवाज़	آواز
आवाज़ु	آواز
आवाज़्	آواز
आवारा	آوارا
आविश्कार	آوشڪار
आशा	آشا
आशावाद	آشاواد
आशावादी	آشاوادي
आशिक	عاشِق
आशिकु	عاشق
आश्रम	آشرم
आस	آس
आसणु	آسڻ
आसाइतो	آسائتو
आसान	آسان
आसानी	آساني
आसान्	آسان
आसामी	آسامي
आसार	آسار
आसिरो	آسرو
आसीस	آسيس
आसूदो	آسودو
आसूद्गी	آسودگي
आस्मान	آسمان
आस्मान्	آسمان
आस्रो	آسرو
आह	آه
आहट्	آهٽ
आहिन	آھن
आहिस्ते	آهستا
आहिस्ते	آهستي
आहे	آهي
आहेड़ो	آهيڙو
आह्यां	آھيان
आह्यूं	آھيون
आह्स्ते	آھستي
आह्स्ते	آهستي
आंडो	آنڊو
आंदलु	آندل
आंदोलन	آندولن
आंधी	آنڌي
इएं	۽
इएं	ائين
इएं	ايئن
इकाई	اڪائي
इकी	اڪي
इक्ख्लाकु	اخلاق
इख़ित्सार	اختصار
इख़ित्सारु	سار
इख़्तिलाफ़ी	اختلافي
इख़्लाक	اخلاڪ
इख़्लाकी	اِخِلاقيِ
इख़्लाकी	اخلاڪي
इछ	اڇا
इछा	اڇا
इज़त	عزت
इज़त	عِزَتَ
इज़ती	عزتي
इजाज़त	اجازت
इजाज़ती	اجازتي
इज़ाफ़ो	اضافو
इजार्दार	اجاردار
इज्लास	اجلاس
इज़्हार	اِزهار
इज़्हार	اظهار
इझो	اجھو
इझोई	اجھوئي
इतर	عطر
इतहासी	اِتهاسي
इतिफ़ाक	اِتِفاق
इतिरु	عطر
इतिहास	اتھاس
इते	اتي
इत्फ़ाक	اتفاق
इत्फ़ाक	اِتفاق
इत्फ़ाक	اِتِفاق
इत्फ़ाका	اتفاقا
इत्फ़ाकी	اتفاقي
इत्फ़ाकी	اِتِفاقيِ
इत्फ़ाक्	اتفاق
इत्फ़ाक्	اِتفاق
इत्लाउ	اِتلاءُ
इत्लाउ	اطلاع
इत्हाद्	اِتِحاد
इन	ان
इन	اِنَ
इनकरे	انڪري
इनहीअ	انهيءَ
इनहीअ	اِنَهيِءَ
इनहीअ	اِنَھيِءَ
इनाम	انعام
इनाम	اِنعام
इनामु	انعام
इन्कार	انڪار
इन्कार्	انڪار
इन्क्लाब	انقلاب
इन्क्लाब	ڳنقلاب
इन्क्लाबी	انقلابي
इन्चु	انچ
इन्तिज़ाम	انتظام
इन्तिज़ामी	انتظامي
इन्तिज़ाम्	انتظام
इन्त्ज़ाम	انتظام
इन्त्ज़ाम	اِنتظام
इन्त्ज़ाम्	اِنتظام
इन्त्ज़ार	انتظار
इन्सान	انسان
इन्सानु	انسان
इन्सान्यत	انسانيت
इन्साफ़	انساف
इन्साफ़	انصاف
इन्साफ़ी	انصافي
इन्साफ़ु	انصاف
इबादती	عبادتي
इमारत	عمارت
इमारती	عمارتي
इम्कान	امڪان
इम्कान	اِمڪان
इम्कानी	امڪاني
इम्कान्	امڪان
इम्तियाज़	امتياز
इम्तिहान	امتحان
इम्तिहानु	امتحان
इम्तिहानु	امتهان
इम्तिहान्	امتحان
इरादाऊं	ارادائون
इरादो	ارادو
इरादो	اِرادو
इलत	علت
इलती	علتي
इलती	علدَتيِ
इलाइको	علائقو
इलाको	علاقو
इलाको	علائقو
इलाची	الائچي
इलाज	علاج
इलाज	عِلاج
इलाजु	علاج
इलाज्	علاج
इलाही	الاهي
इलाही	الاھي
इलिम	علم
इल्ज़ाम	الزام
इल्ज़ाम	الظام
इल्ज़ाम्	الزام
इल्म	علم
इल्म	عِلِمُ
इल्मी	علمي
इल्मु	علم
इल्विजान्	وِجان
इल्हामी	الهامي
इशारा	اِشارا
इशारो	اشارو
इशारो	اِشارو
इश्क	عشق
इश्क्बाज़ी	عشق
इश्त्हार	اشتهار
इसिमु	اسم
इस्कूल्	اسڪول
इस्टाक	اسٽاڪ
इस्टिकरु	اسٽڪر
इस्टूडिओ	اسٽوڊئو
इस्टेशन	اسٽيشن
इस्तलाहु	اصطلاح
इस्तवा	اِستوا
इस्तीफ़ा	استعفا
इस्तीफ़ा	استيفا
इस्तेमाल	استعيمال
इस्तेमाल	استيعمال
इस्तेमालु	استعيمال
इस्त्री	استري
इस्त्लाह	استلاه
इस्त्लाहत	اصطلاحت
इस्थाई	اسٿائي
इस्थान	اسٿان
इस्थानिक्	اسٿانڪ
इस्थापित	اسٿاپت
इस्थापिन	اسٿاپن
इस्थाप्ना	اِسٿاپنا
इस्थिर	اسٿر
इस्थिर्ता	اسٿرتا
इस्पताल्	اسپتال
इस्मु	اسم
इस्रार	اسرار
इस्रारी	اسراري
इस्लाह	اصلاح
इहा	اها
इहे	اهي
इहो	اهو
इहो	اھو
इंघाइणु	انگھائڻ
इंजिणि	انجڻ
इंज्नेरु	اِنجنير
इंत्ज़ाम	انتظام
इंत्ज़ार	اِنتظار
इंशा	انشا
इंसान	انسان
ई	ئي
ईज़ाअ	ايزاءَ
ईज़ाइणु	ايذائڻ
ईज़ाउ	ايذاءُ
ईजाद	ايجاد
ईजाद्	ايجاد
ईमन्दारी	ايمانداري
ईमान	ايمان
ईमानी	ايماني
ईमान्	ايمان
ईमान्दाई	ايمانداري
ईमान्दार	ايماندار
ईमान्दारी	ايمانداري
ईमान्दारीअ	ايمانداريءَ
ईमान्दार्	ايماندار
ईमांदार	ايماندار
ईर्खा	ايرکا
ईर्खालू	ايرکالو
ईश्वर	ايشور
ईश्वरी	ايشوري
ईश्वर्	ايشور
ईश्वर्ता	ايشورتا
ईंघ	اينگھ
ईंघाइणु	اينگھائڻ
ईंघंदड़्	اينگھندڙ
ईंदड़	ايندڙ
ईंदड़ु	ايندڙ
ईंदड़्	ايندڙ
ईंदो	ايندو
उकीर	اڪير
उक्रणु	اُڪرَڻُ
उक्रणु	اڪرڻ
उखारणु	اکارڻ
उखिलणु	اکلڻ
उखेड़णु	اکيڙڻ
उखेलणु	اکيلڻ
उख्ड़णु	اُکڙَڻُ
उख्री	اکري
उग़ड़णु	اگھاڙڻ
उॻाड़णु	اڳاڙڻ
उघणु	اگھڻ
उघाड़णु	اگھاڙڻ
उघाड़प	اگھاڙپ
उघाड़ो	اگھاڙو
उचारण	اچارڻ
उचारणु	اچارڻ
उचारु	اچار
उचित	اچت
उछातिरो	اڇاترو
उछात्रो	اڇاترو
उछारो	اڇارو
उछालणु	اڇالڻ
उछांग्	اڇانگ
उछिलणु	اڇلڻ
उछिलाइणु	اڇلائڻ
उछ्लणु	اڇلڻ
उछ्लाइणु	اُڇلائڻ
उछ्लाइणु	اڇلائڻ
उजूरो	اجورو
उज़्वन	عضون
उज़्वो	عضوو
उझाम	اُجھام
उझामण	اجھامڻ
उञ	اڃ
उञायलु	اڃايل
उठु	اٺ
उडाई	اڊائي
उडेरणु	اڊرڻ
उॾही	اڏهي
उॾाइणु	اُڏائڻ
उॾाइणु	اڏائڻ
उॾाई	اڏائي
उॾाऊ	اڏائو
उॾाए	اُڌائي
उॾाम	اڏام
उॾामणु	اڏامڻ
उॾामी	اڏامي
उॾामंदड़्	اڏامندڙ
उॾी	اُڏي
उॾोही	اڏوهي
उॾंदड़	وانگر
उणणु	اُڻڻ
उणणु	اڻڻ
उणति	اڻت
उणियलु	اڻيل
उण्यल	اُڻيل
उण्यलु	اڻيل
उण्वीह	اڻويه
उतपती	اتپتي
उतम	اتم
उतम	اُتم
उतमु	اتم
उतम्	اتم
उतम्	اُتم
उतारू	اتارو
उतावलो	اُتاولو
